case_name,thickness_shell,longitude_num,latitude_num,rib_levels,longitude_height,latitude_height,longitude_thickness,latitude_thickness,longitude_rib_boundary_angle,top_unribbed_cap_angle,total_mass,eigenvalue,buckling_pressure
G113_t2p56_nlon6_nlat8,2.56,6,8,2,11.4,12.6,1.21,1.4,64,32,3.02055706e-02,6.28100000e-01,6.28100000e-01
G115_t2p34_nlon9_nlat8,2.34,9,8,2,9.3,14.1,1.42,1.51,67,28,2.96538310e-02,7.41740000e-01,7.41740000e-01
G116_t2p88_nlon6_nlat5,2.88,6,5,2,7.1,10.6,0.97,0.71,58,26,2.98419588e-02,5.45000000e-01,5.45000000e-01
G117_t3p07_nlon5_nlat7,3.07,5,7,2,8.9,8.9,0.79,1.2,61,29,3.17755548e-02,5.72480000e-01,5.72480000e-01
G118_t3p17_nlon6_nlat6,3.17,6,6,2,10.5,13.1,0.66,0.69,60,32,3.37423442e-02,6.47010000e-01,6.47010000e-01
G119_t3p11_nlon6_nlat5,3.11,6,5,2,7.8,9.3,1.07,1.07,63,38,3.52163829e-02,6.24940000e-01,6.24940000e-01
G120_t3p03_nlon7_nlat4,3.03,7,4,2,11.6,10,0.81,0.8,55,35,3.43198239e-02,6.16860000e-01,6.16860000e-01
G122_t2p95_nlon5_nlat6,2.95,5,6,2,9.9,11.3,1.12,1,54,36,3.33841602e-02,6.59770000e-01,6.59770000e-01
G123_t2p98_nlon7_nlat6,2.98,7,6,2,6.7,12.8,0.69,0.77,66,34,3.18650799e-02,5.85690000e-01,5.85690000e-01
G124_t3p16_nlon5_nlat6,3.16,5,6,2,7.5,11.8,0.92,1.11,53,40,3.57062676e-02,7.13420000e-01,7.13420000e-01
G126_t3p23_nlon6_nlat7,3.23,6,7,2,12.4,8.4,1.18,1.28,54,38,3.83688303e-02,6.96390000e-01,6.96390000e-01
G128_t3p12_nlon5_nlat5,3.12,5,5,2,6.3,7.4,0.75,0.88,63,31,3.19561345e-02,5.11740000e-01,5.11740000e-01
G130_t3_nlon4_nlat5,3,4,5,2,8.2,10.1,0.88,1.25,59,30,3.10263771e-02,5.54730000e-01,5.54730000e-01
